iter	Logloss
0	0.6840687331
1	0.6759421547
2	0.669163505
3	0.6618763241
4	0.6544661997
5	0.6475923361
6	0.6433156761
7	0.6370792076
8	0.6323487709
9	0.6276779354
10	0.6235445665
11	0.6194031587
12	0.6164115278
13	0.6124436144
14	0.6090764257
15	0.6050019284
16	0.6018672512
17	0.5990453329
18	0.596674439
19	0.5951241948
20	0.5931815924
21	0.5915564863
22	0.5897404016
23	0.5885088682
24	0.5871525809
25	0.5854751969
26	0.5848935441
27	0.5836557472
28	0.5826159761
29	0.5808856251
30	0.5792277586
31	0.5782233697
32	0.5767079965
33	0.5760829659
34	0.5747686596
35	0.5735082745
36	0.5721545265
37	0.5708122868
38	0.5694575424
39	0.5679958349
40	0.5671368775
41	0.5660620225
42	0.5652476145
43	0.5641677544
44	0.5633758185
45	0.5626014708
46	0.5619326703
47	0.5612896098
48	0.5604602681
49	0.5598324155
50	0.5593094291
51	0.5585610063
52	0.5584369727
53	0.5579622407
54	0.5577685736
55	0.5573803729
56	0.5571414782
57	0.5564097177
58	0.5561189104
59	0.5555705286
60	0.5550387461
61	0.5549789999
62	0.5548934296
63	0.5546237851
64	0.5541632547
65	0.5538353105
66	0.5533034886
67	0.5528378793
68	0.5527119645
69	0.5522711764
70	0.5522396855
71	0.5520863022
72	0.5517140531
73	0.5513203275
74	0.5510625328
75	0.5509333183
76	0.5508956884
77	0.5507591014
78	0.5502576106
79	0.5498255745
80	0.5496217053
81	0.549099384
82	0.5484961975
83	0.5484261589
84	0.548054243
85	0.5479497398
86	0.5476872447
87	0.5474460338
88	0.5473266294
89	0.5471604113
90	0.5469201246
91	0.546693085
92	0.5465410527
93	0.5463621052
94	0.5463209972
95	0.5462643942
96	0.5462478893
97	0.5460867425
98	0.545979848
99	0.5459308896
100	0.5458572963
101	0.5455795866
102	0.5452044973
103	0.5449011493
104	0.544830539
105	0.544723291
106	0.5447095045
107	0.5446903508
108	0.5442744645
109	0.5440651891
110	0.5440062195
111	0.5438115478
112	0.5436079136
113	0.5433242604
114	0.5432719467
115	0.5430857879
116	0.5430746108
117	0.5430578747
118	0.5428916331
119	0.5426249669
120	0.5424105308
121	0.5420941643
122	0.5420110338
123	0.5419191313
124	0.5418202404
125	0.5417183633
126	0.5415686137
127	0.5414526521
128	0.5412478151
129	0.5410140451
130	0.5407711203
131	0.5406333605
132	0.5404156081
133	0.5403909802
134	0.5401049063
135	0.5400143285
136	0.5400035143
137	0.53993993
138	0.5398837787
139	0.5397485209
140	0.539226354
141	0.5390440956
142	0.5384430928
143	0.5382565385
144	0.5379688947
145	0.5378653667
146	0.5377970131
147	0.5376619489
148	0.5375219017
149	0.5373490345
150	0.5371662875
151	0.5371216607
152	0.5367770106
153	0.5366887206
154	0.5366737825
155	0.5363498193
156	0.5362532547
157	0.5361597955
158	0.5357508592
159	0.5355889057
160	0.5354278324
161	0.5353246355
162	0.5351964302
163	0.5351414407
164	0.5350412086
165	0.5347128013
166	0.5345244299
167	0.5343260375
168	0.5341878569
169	0.534145937
170	0.5340299537
171	0.5338238011
172	0.5337104819
173	0.5335393788
174	0.5333832811
175	0.5332121628
176	0.5331288732
177	0.5330153426
178	0.5328994996
179	0.5326681209
180	0.5326584399
181	0.5326438795
182	0.5324950598
183	0.5324950354
184	0.5324857491
185	0.5323825728
186	0.5322716488
187	0.531926159
188	0.5317349034
189	0.531639467
190	0.5314074032
191	0.5312636178
192	0.5312636131
193	0.5309971317
194	0.530989525
195	0.5308307607
196	0.5306975454
197	0.5304937129
198	0.5300788048
199	0.5298602464
200	0.5294187924
201	0.5293345442
202	0.5291416834
203	0.5290496592
204	0.5289465242
205	0.5288181286
206	0.52858858
207	0.5284601239
208	0.528373187
209	0.5282783808
210	0.5281498674
211	0.5280032402
212	0.5277717387
213	0.5274350908
214	0.5273220685
215	0.5272315135
216	0.5270749433
217	0.5269272178
218	0.5266755935
219	0.5264660587
220	0.5263561146
221	0.5261579588
222	0.5259129499
223	0.5256976041
224	0.525492175
