iter	Passed	Remaining
0	268	268117
1	399	199246
2	480	159744
3	600	149479
4	720	143339
5	851	141060
6	914	129664
7	1034	128315
8	1162	128023
9	1286	127348
10	1413	127083
11	1541	126917
12	1661	126134
13	1779	125331
14	1899	124707
15	2024	124494
16	2149	124299
17	2277	124228
18	2397	123791
19	2519	123443
20	2639	123041
21	2764	122885
22	2891	122842
23	3004	122180
24	3130	122099
25	3255	121949
26	3318	119598
27	3456	120004
28	3592	120297
29	3720	120283
30	3850	120364
31	3979	120387
32	4136	121219
33	4268	121269
34	4394	121156
35	4524	121151
36	4656	121194
37	4779	120988
38	4907	120916
39	5034	120837
40	5155	120596
41	5287	120609
42	5414	120513
43	5539	120355
44	5669	120317
45	5801	120317
46	5929	120239
47	6058	120154
48	6188	120116
49	6318	120044
50	6445	119937
51	6574	119856
52	6708	119874
53	6838	119801
54	6943	119295
55	7073	119231
56	7200	119127
57	7329	119048
58	7457	118933
59	7585	118842
60	7713	118737
61	7778	117678
62	7845	116685
63	7970	116575
64	8099	116509
65	8227	116429
66	8359	116405
67	8486	116315
68	8614	116236
69	8744	116170
70	8791	115033
71	8916	114925
72	9043	114841
73	9171	114768
74	9303	114747
75	9435	114710
76	9559	114589
77	9692	114566
78	9824	114531
79	9953	114470
80	10083	114405
81	10227	114494
82	10356	114419
83	10420	113637
84	10548	113551
85	10652	113217
86	10780	113135
87	10907	113039
88	11051	113120
89	11203	113281
90	11350	113377
91	11482	113326
92	11607	113204
93	11734	113099
94	11867	113056
95	11995	112958
96	12039	112080
97	12166	111979
98	12294	111887
99	12390	111517
100	12496	111231
101	12624	111148
102	12751	111048
103	12886	111018
104	13011	110906
105	13135	110788
106	13181	110014
107	13276	109656
108	13418	109683
109	13557	109692
110	13701	109739
111	13847	109789
112	13984	109775
113	14129	109812
114	14261	109752
115	14400	109740
116	14453	109080
117	14501	108392
118	14629	108307
119	14754	108201
120	14883	108117
121	15012	108039
122	15143	107976
123	15274	107904
124	15408	107859
125	15538	107780
126	15667	107701
127	15798	107628
128	15930	107561
129	16060	107478
130	16188	107389
131	16326	107359
132	16460	107305
133	16572	107100
134	16706	107042
135	16836	106961
136	16883	106353
137	17014	106276
138	17141	106178
139	17268	106080
140	17398	105994
141	17527	105905
142	17656	105813
143	17787	105738
144	17911	105616
145	18036	105499
146	18158	105371
147	18288	105285
148	18419	105199
149	18551	105125
150	18681	105034
151	18813	104961
152	18945	104880
153	19068	104755
154	19113	104197
155	19248	104139
156	19374	104027
157	19507	103958
158	19634	103852
159	19760	103742
160	19887	103637
161	20016	103541
162	20149	103464
163	20264	103301
164	20401	103244
165	20527	103132
166	20660	103053
167	20802	103020
168	20930	102918
169	21055	102800
170	21186	102709
171	21315	102610
172	21447	102525
173	21574	102416
174	21712	102357
175	21839	102248
176	21968	102146
177	22096	102041
178	22226	101945
179	22355	101843
180	22404	101377
181	22473	101006
182	22598	100891
183	22623	100332
184	22669	99866
185	22792	99749
186	22921	99655
187	23054	99577
188	23185	99488
189	23313	99390
190	23446	99310
191	23573	99206
192	23603	98694
193	23735	98612
194	23783	98182
195	23908	98075
196	24041	97995
197	24169	97897
198	24298	97804
199	24423	97693
200	24545	97570
201	24685	97521
202	24818	97441
203	24951	97360
204	25128	97449
205	25254	97338
206	25386	97252
207	25518	97164
208	25646	97062
209	25777	96971
210	25908	96882
211	26037	96782
212	26160	96657
213	26286	96547
214	26416	96450
215	26549	96364
216	26678	96263
217	26826	96229
218	26966	96169
219	27092	96053
220	27223	95961
221	27362	95891
222	27485	95767
223	27612	95657
224	27744	95565
225	27883	95493
226	28009	95380
227	28140	95282
228	28268	95175
229	28398	95072
230	28529	94974
231	28659	94871
232	28790	94774
233	28921	94674
234	29047	94559
235	29182	94473
236	29313	94373
237	29441	94263
238	29573	94165
239	29706	94070
240	29835	93964
241	29964	93856
242	30093	93748
243	30226	93653
244	30355	93545
245	30484	93436
246	30625	93365
247	30757	93265
248	30886	93155
249	31015	93045
250	31143	92933
251	31269	92816
252	31410	92742
253	31543	92642
254	31674	92540
255	31801	92422
256	31936	92331
257	32068	92228
258	32192	92104
259	32323	91998
260	32446	91870
261	32578	91766
262	32709	91660
263	32839	91551
264	32968	91440
265	33104	91348
266	33226	91217
267	33355	91104
268	33485	90994
269	33617	90890
270	33748	90785
271	33874	90663
272	34011	90573
273	34140	90459
274	34273	90357
275	34400	90239
276	34532	90134
277	34665	90030
278	34792	89911
279	34923	89804
280	35056	89700
281	35186	89587
282	35324	89497
283	35454	89386
284	35589	89287
285	35717	89169
286	35849	89062
287	35982	88956
288	36112	88843
289	36238	88722
290	36367	88607
291	36492	88482
292	36630	88388
293	36761	88278
294	36895	88173
295	37027	88066
296	37154	87944
297	37278	87816
298	37407	87700
299	37536	87584
300	37668	87475
301	37795	87355
302	37928	87249
303	38060	87139
304	38186	87014
305	38313	86893
306	38444	86780
307	38573	86665
308	38705	86556
309	38834	86438
310	38960	86314
311	39090	86199
312	39222	86089
313	39354	85977
314	39483	85861
315	39614	85748
316	39747	85638
317	39876	85521
318	40009	85411
319	40135	85287
320	40261	85164
321	40390	85045
322	40516	84922
323	40648	84809
324	40777	84692
325	40906	84573
326	41037	84458
327	41166	84341
328	41295	84223
329	41428	84112
330	41580	84039
331	41725	83954
332	41862	83850
333	41991	83731
334	42115	83603
335	42245	83485
336	42373	83364
337	42508	83256
338	42639	83140
339	42767	83018
340	42893	82893
341	43026	82781
342	43156	82663
343	43285	82544
344	43416	82428
345	43544	82306
346	43676	82191
347	43806	82074
348	43937	81957
349	44085	81873
350	44207	81739
351	44347	81640
352	44472	81512
353	44602	81392
354	44749	81306
355	44883	81194
356	45012	81072
357	45141	80951
358	45268	80828
359	45396	80705
360	45524	80581
361	45655	80463
362	45785	80345
363	45919	80232
364	46049	80113
365	46186	80005
366	46340	79927
367	46472	79811
368	46596	79681
369	46725	79559
370	46853	79436
371	46984	79318
372	47156	79268
373	47292	79158
374	47418	79030
375	47547	78909
376	47691	78811
377	47824	78695
378	47965	78592
379	48095	78471
380	48226	78352
381	48360	78236
382	48490	78116
383	48619	77993
384	48753	77879
385	48884	77759
386	49013	77635
387	49140	77510
388	49271	77390
389	49401	77268
390	49525	77137
391	49654	77015
392	49787	76898
393	49922	76783
394	50049	76658
395	50175	76530
396	50317	76427
397	50448	76306
398	50579	76186
399	50715	76072
400	50842	75946
401	50971	75823
402	51101	75701
403	51242	75595
404	51376	75478
405	51509	75361
406	51641	75241
407	51772	75121
408	51902	74998
409	52040	74886
410	52169	74764
411	52300	74641
412	52425	74512
413	52553	74386
414	52684	74266
415	52816	74145
416	52941	74016
417	53065	73885
418	53198	73767
419	53326	73641
420	53460	73523
421	53591	73402
422	53719	73276
423	53853	73159
424	53990	73045
425	54116	72918
426	54248	72797
427	54376	72671
428	54505	72547
429	54636	72425
430	54768	72303
431	54901	72185
432	55030	72060
433	55158	71934
434	55288	71811
435	55417	71687
436	55558	71577
437	55690	71456
438	55821	71335
439	55949	71208
440	56083	71089
441	56214	70968
442	56350	70851
443	56478	70725
444	56615	70610
445	56749	70491
446	56881	70370
447	57011	70246
448	57139	70119
449	57266	69991
450	57402	69875
451	57531	69750
452	57658	69622
453	57789	69500
454	57922	69379
455	58052	69255
456	58184	69133
457	58310	69005
458	58438	68878
459	58568	68754
460	58700	68632
461	58836	68515
462	58964	68389
463	59092	68262
464	59222	68137
465	59352	68013
466	59482	67889
467	59608	67760
468	59737	67635
469	59871	67514
470	59998	67386
471	60129	67263
472	60254	67133
473	60382	67006
474	60509	66878
475	60640	66755
476	60781	66642
477	60906	66513
478	61038	66390
479	61166	66263
480	61290	66132
481	61426	66013
482	61558	65891
483	61690	65769
484	61823	65648
485	61960	65530
486	62093	65408
487	62222	65282
488	62359	65164
489	62489	65040
490	62621	64916
491	62756	64797
492	62894	64680
493	63025	64556
494	63160	64436
495	63299	64320
496	63430	64196
497	63558	64068
498	63693	63948
499	63822	63822
500	63975	63720
501	64106	63595
502	64248	63481
503	64377	63355
504	64508	63231
505	64638	63105
506	64766	62978
507	64900	62856
508	65030	62730
509	65162	62607
510	65303	62491
511	65434	62367
512	65562	62239
513	65690	62112
514	65821	61987
515	65947	61857
516	66079	61733
517	66209	61608
518	66336	61479
519	66469	61356
520	66599	61230
521	66731	61106
522	66876	60994
523	67012	60874
524	67142	60748
525	67275	60624
526	67404	60497
527	67536	60373
528	67667	60248
529	67797	60122
530	67958	60024
531	68089	59898
532	68229	59780
533	68361	59656
534	68490	59529
535	68620	59402
536	68747	59273
537	68880	59150
538	69007	59021
539	69137	58895
540	69267	58768
541	69392	58637
542	69521	58510
543	69647	58380
544	69775	58253
545	69907	58128
546	70040	58003
547	70178	57884
548	70341	57785
549	70471	57658
550	70599	57530
551	70723	57398
552	70854	57273
